id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,8171.028889499999,119.9495000000752,0,1,0.33911900999232125,0.5578082477565423,0.6561174439562688,0.9856686803602404,2d gaze,,,,8171.028889499999 8171.032967499999 8171.037034 8171.0410725 8171.045125 8171.0490515 8171.0531955 8171.0571525 8171.060946 8171.0649405 8171.068888 8171.072987 8171.077058499999 8171.0811275 8171.0852005 8171.0891255 8171.092989999999 8171.096959 8171.1008775 8171.1053505 8171.1094295 8171.1133635 8171.1168705 8171.121067 8171.1252275 8171.129293 8171.133372 8171.137181 8171.1409625 8171.1449075 8171.1488389999995
1,8171.152931999999,116.1500000007436,1,4,0.357347639444679,0.5812051473152582,1.495822948272592,0.9993761916955312,2d gaze,,,,8171.152931999999 8171.15702 8171.160959999999 8171.1648705 8171.169244 8171.173592499999 8171.1772495 8171.1808925 8171.186707999999 8171.1925145 8171.1963184999995 8171.2001185 8171.204583 8171.209378 8171.213318 8171.2166695 8171.21963 8171.222296 8171.226197 8171.2300595 8171.233706499999 8171.237362 8171.2411864999995 8171.244935499999 8171.248960499999 8171.2529395 8171.256942 8171.260931 8171.2650095 8171.269082
2,8171.2732595,219.6459999995568,4,11,0.36070795936474687,0.5747721685103272,1.0674667921493912,0.9997835923324931,2d gaze,,,,8171.2732595 8171.2774285 8171.281462499999 8171.2854955 8171.289373 8171.2934335 8171.297423 8171.301221 8171.3054515 8171.3097245 8171.3134285 8171.317121 8171.321110999999 8171.3250775 8171.329129 8171.333178499999 8171.337266999999 8171.341366 8171.3451245 8171.3488879999995 8171.355106999999 8171.3591154999995 8171.363128 8171.367012999999 8171.371002999999 8171.3749245 8171.378938 8171.3829945 8171.387156499999 8171.391125 8171.394947 8171.398896999999 8171.403049 8171.407102499999 8171.4109865 8171.41497 8171.4190455 8171.4229935 8171.4268875 8171.430947 8171.4371405 8171.441272 8171.445189 8171.4490534999995 8171.452966 8171.456894499999 8171.460865999999 8171.464841499999 8171.468878 8171.473915999999 8171.477961999999 8171.480981499999 8171.484942499999 8171.488885999999 8171.492905499999
3,8171.496915,216.1164999997709,11,18,0.3527642739211809,0.5901283746692498,0.9548460209763425,1.0,2d gaze,,,,8171.496915 8171.500905 8171.504899 8171.5089155000005 8171.512952 8171.516932 8171.520893499999 8171.524896999999 8171.5289139999995 8171.532955 8171.5369945 8171.541037999999 8171.5450585 8171.549021 8171.552981499999 8171.5569595 8171.560922 8171.5650845 8171.569233 8171.573123 8171.577018 8171.5809309999995 8171.584912 8171.588972 8171.592957499999 8171.596971499999 8171.6009605 8171.605 8171.6090415 8171.6129545 8171.6168645 8171.6208625 8171.624849 8171.6288475 8171.632853499999 8171.6369214999995 8171.640966499999 8171.645311 8171.6496435 8171.653324 8171.65702 8171.660976499999 8171.6649185 8171.668933499999 8171.6729510000005 8171.677033 8171.681097999999 8171.6850575 8171.688980499999 8171.692975 8171.69695 8171.7009485 8171.704939499999 8171.7089885000005 8171.7130314999995
4,8171.7169865,219.95650000008027,18,24,0.348712389052333,0.586766694725679,1.1771030121500332,0.998609121279283,2d gaze,,,,8171.7169865 8171.7209379999995 8171.724921499999 8171.728912 8171.732964999999 8171.737008 8171.741085 8171.745155 8171.7490885 8171.753009999999 8171.756957 8171.760889499999 8171.7648885 8171.7688929999995 8171.772975 8171.7770414999995 8171.7810715 8171.785086 8171.7890105 8171.792931 8171.796918 8171.800901499999 8171.804971 8171.8091145 8171.8130635 8171.816946 8171.822919 8171.826878 8171.830994999999 8171.835461499999 8171.839625 8171.843433 8171.8473245 8171.85125 8171.855132 8171.858926999999 8171.862889 8171.866937499999 8171.8710285 8171.87512 8171.879142 8171.883017 8171.88689 8171.890882 8171.894915 8171.898993999999 8171.905067 8171.909057999999 8171.9130374999995 8171.9171209999995 8171.921077499999 8171.924930499999 8171.928936 8171.932908999999 8171.936943
5,8171.940987,215.98350000022037,25,31,0.3482425765351089,0.5680628610711218,0.6377718741679846,0.9943876916711981,2d gaze,,,,8171.940987 8171.9452599999995 8171.9495185 8171.953202999999 8171.9568745 8171.960862999999 8171.9648485 8171.969669499999 8171.974373999999 8171.9790195 8171.9835855 8171.986972499999 8171.9902465 8171.994586499999 8171.998761999999 8172.001908 8172.0049665 8172.0089595 8172.012973 8172.0175055 8172.022089499999 8172.025732 8172.0292945 8172.033112499999 8172.036934 8172.0409635 8172.0450065 8172.0489615 8172.052911999999 8172.057038499999 8172.061302499999 8172.065184499999 8172.068928 8172.073009 8172.077074999999 8172.081657999999 8172.0860035 8172.0900645 8172.0938909999995 8172.098542 8172.1031655 8172.1061235 8172.1090255 8172.113181499999 8172.117311 8172.121526 8172.125959 8172.129639 8172.133053 8172.1370005 8172.1409175 8172.145089 8172.149338499999 8172.153189 8172.1569705
6,8172.161150999999,215.91650000027585,31,37,0.34617588532586085,0.5772964635302551,0.5447076391199998,0.9983836379316118,2d gaze,,,,8172.161150999999 8172.165308 8172.169313 8172.173325 8172.1771645 8172.1810105 8172.1850815 8172.189145 8172.1935969999995 8172.1981645 8172.201625 8172.204976499999 8172.208935 8172.2128985 8172.217081999999 8172.2212875 8172.225187999999 8172.229049 8172.2333005 8172.237572499999 8172.241558 8172.245578499999 8172.2500755 8172.254525 8172.2577875 8172.2610585 8172.2650165 8172.2689665 8172.273337499999 8172.277657 8172.2812945 8172.284906999999 8172.290945499999 8172.2955624999995 8172.299099 8172.303124 8172.307105 8172.3112325 8172.315248499999 8172.3192235 8172.323103499999 8172.327004499999 8172.330997999999 8172.334955999999 8172.338980999999 8172.343107999999 8172.3473445 8172.351216999999 8172.3559195 8172.359940999999 8172.363284999999 8172.3673495 8172.3731275 8172.3770675
7,8172.4330895,156.1695000000327,39,44,0.3312628813132245,0.46517523818834244,1.485592159275083,0.9379485838115216,2d gaze,,,,8172.4330895 8172.437040499999 8172.4410075 8172.445035999999 8172.4490534999995 8172.453014999999 8172.456980999999 8172.461026999999 8172.46507 8172.4690405 8172.473012999999 8172.476987 8172.480960499999 8172.4852505 8172.489527 8172.4932444999995 8172.496943499999 8172.5010425 8172.5051365 8172.509016 8172.5129099999995 8172.5169105 8172.5209085 8172.525164 8172.5292845 8172.533468 8172.5376225 8172.5413405 8172.544948999999 8172.549018 8172.5530585 8172.5572125 8172.561315499999 8172.56517 8172.568993999999 8172.5731829999995 8172.577353999999 8172.581249499999 8172.585147 8172.589259
8,8172.593368,112.31299999963085,44,47,0.3309764215891578,0.46198289525419106,0.9485593469135745,0.9298876821994781,2d gaze,,,,8172.593368 8172.597148 8172.6009415 8172.604956499999 8172.6089635 8172.612993 8172.617034499999 8172.6209815 8172.624929 8172.628965999999 8172.632984 8172.637568499999 8172.6421565 8172.645566499999 8172.6489595 8172.6533725 8172.657777 8172.6613665 8172.664951 8172.668938 8172.672914999999 8172.677868 8172.6818865000005 8172.6859735 8172.689130499999 8172.693080999999 8172.697027499999 8172.701356 8172.7056809999995
9,8172.7093239999995,219.80799999982992,47,54,0.3142218400800343,0.46606809964085566,0.8046702544246033,0.959043699502945,2d gaze,,,,8172.7093239999995 8172.7129534999995 8172.717146499999 8172.7213345 8172.7252284999995 8172.7291195 8172.7330795 8172.7370255 8172.7411585 8172.7453045 8172.749174 8172.753038499999 8172.7570325 8172.763154 8172.7671075 8172.7709669999995 8172.775002 8172.7790079999995 8172.7829894999995 8172.787102 8172.791149499999 8172.795015 8172.799006499999 8172.8031574999995 8172.807150999999 8172.811104 8172.8151904999995 8172.819230499999 8172.823193 8172.8270354999995 8172.830946499999 8172.8351059999995 8172.8419305 8172.846557499999 8172.8503875 8172.8543039999995 8172.857656499999 8172.8615389999995 8172.86558 8172.868947999999 8172.872995 8172.8770509999995 8172.881378 8172.8859185 8172.889537999999 8172.8929245 8172.897105 8172.901234 8172.905068 8172.908878 8172.9128925 8172.916913 8172.921120999999 8172.9253284999995 8172.929131999999
